type,package,filename,lazy-1,lazy-2,strict
test,RPostgreSQL,unknowntype,TRUE,TRUE,TRUE
test,RProtoBuf,tinytest,TRUE,FALSE,FALSE
test,RPushbullet,simpleTests,TRUE,TRUE,TRUE
test,RSNNS,testAllDemos,TRUE,TRUE,TRUE
test,RWeka,data_exchange,TRUE,TRUE,TRUE
test,RandVar,tests,TRUE,FALSE,FALSE
test,RcppAnnoy,tinytest,TRUE,FALSE,FALSE
test,RcppEigen,tinytest,TRUE,FALSE,FALSE
test,RcppSimdJson,tinytest,TRUE,FALSE,FALSE
test,RcppTOML,tinytest,TRUE,FALSE,FALSE
test,RcppZiggurat,zigguratTest,TRUE,TRUE,TRUE
test,RcppZiggurat,zigguratTestAll,TRUE,TRUE,TRUE
test,Renext,Unobserved,TRUE,TRUE,TRUE
test,Renext,qmixexp2,TRUE,TRUE,TRUE
test,Require,test-all,TRUE,FALSE,FALSE
test,ResourceSelection,tests,TRUE,FALSE,FALSE
test,Rmixmod,clustering1test,TRUE,FALSE,FALSE
test,Rmixmod,clusteringParametertest,TRUE,TRUE,TRUE
test,Rmixmod,clusteringPartitiontest,TRUE,TRUE,TRUE
test,Rmixmod,heterogeneousDAtest,TRUE,TRUE,TRUE
test,Rmixmod,heterogeneousclusteringtest,TRUE,TRUE,TRUE
test,Rmixmod,ssupervised,TRUE,FALSE,FALSE
test,Rmixmod,test,TRUE,FALSE,FALSE
test,SAM,test_linear,TRUE,FALSE,FALSE
test,SAM,test_logis,TRUE,FALSE,FALSE
test,SpatialExtremes,gradientPllik,TRUE,TRUE,TRUE
test,StanHeaders,rstan,TRUE,TRUE,TRUE
test,TSsql,dbconnect,TRUE,TRUE,TRUE
test,TTR,doRUnit,TRUE,FALSE,FALSE
test,WeightedCluster,onecluster,TRUE,FALSE,FALSE
test,WeightedCluster,typic_analysis,TRUE,FALSE,FALSE
test,XLConnect,run_tests,TRUE,FALSE,FALSE
test,XR,proxyToJSON,TRUE,TRUE,TRUE
test,adegraphics,add,TRUE,TRUE,TRUE
test,adegraphics,adegraphics,TRUE,TRUE,TRUE
test,adegraphics,nbgraph,TRUE,TRUE,TRUE
test,adegraphics,panelSpatial,TRUE,TRUE,TRUE
test,adegraphics,parameter,TRUE,TRUE,TRUE
test,adegraphics,s.arrow,TRUE,TRUE,TRUE
test,adegraphics,s.class,TRUE,TRUE,TRUE
test,adegraphics,s.corcircle,TRUE,TRUE,TRUE
test,adegraphics,s.density,TRUE,TRUE,TRUE
test,adegraphics,s.distri,TRUE,TRUE,TRUE
test,adegraphics,s.image,TRUE,TRUE,TRUE
test,adegraphics,s.label,TRUE,TRUE,TRUE
test,adegraphics,s.logo,TRUE,TRUE,TRUE
test,adegraphics,s.match,TRUE,TRUE,TRUE
test,adegraphics,s.traject,TRUE,TRUE,TRUE
test,adegraphics,s.value,TRUE,TRUE,TRUE
test,adegraphics,s1d.boxplot,TRUE,TRUE,TRUE
test,adegraphics,s1d.class,TRUE,TRUE,TRUE
test,adegraphics,s1d.density,TRUE,TRUE,TRUE
test,adegraphics,s1d.distri,TRUE,TRUE,TRUE
test,adegraphics,s1d.gauss,TRUE,TRUE,TRUE
test,adegraphics,s1d.hist,TRUE,TRUE,TRUE
test,adegraphics,s1d.label,TRUE,TRUE,TRUE
test,adegraphics,s1d.match,TRUE,TRUE,TRUE
test,adegraphics,scatter,TRUE,TRUE,TRUE
test,adegraphics,table.image,TRUE,TRUE,TRUE
test,adegraphics,table.value,TRUE,TRUE,TRUE
test,adegraphics,triangle,TRUE,TRUE,TRUE
test,aster,aster,TRUE,TRUE,TRUE
test,aster,bogus,TRUE,TRUE,TRUE
test,aster,cache,TRUE,TRUE,TRUE
test,aster,chk,TRUE,TRUE,TRUE
test,aster,famber,TRUE,TRUE,TRUE
test,aster,famnegbin,TRUE,TRUE,TRUE
test,aster,famnorloc,TRUE,TRUE,TRUE
test,aster,famnzp,TRUE,TRUE,TRUE
test,aster,fampoi,TRUE,TRUE,TRUE
test,aster,famtnb,TRUE,TRUE,TRUE
test,aster,foobar,TRUE,TRUE,TRUE
test,aster,formula,TRUE,TRUE,TRUE
test,aster,gradmat,TRUE,TRUE,TRUE
test,aster,ktnb,TRUE,TRUE,TRUE
test,aster,ktp,TRUE,TRUE,TRUE
test,aster,matops,TRUE,TRUE,TRUE
test,aster,mlogl-c-export,TRUE,TRUE,TRUE
test,aster,mlogl-cond,TRUE,TRUE,TRUE
test,aster,mlogl-unco,TRUE,TRUE,TRUE
test,aster,newfam,TRUE,TRUE,TRUE
test,aster,newpickle,TRUE,TRUE,TRUE
test,aster,nzp,TRUE,TRUE,TRUE
test,aster,parm,TRUE,TRUE,TRUE
test,aster,penmlogl,TRUE,TRUE,TRUE
test,aster,pickle,TRUE,TRUE,TRUE
test,aster,predict,TRUE,TRUE,TRUE
test,aster,quickle,TRUE,TRUE,TRUE
test,aster,raster,TRUE,TRUE,TRUE
test,aster,reaster,TRUE,TRUE,TRUE
test,aster,reaster-warn,TRUE,TRUE,TRUE
test,aster,reaster1,TRUE,TRUE,TRUE
test,aster,trans,TRUE,TRUE,TRUE
test,aster2,asterdata,TRUE,TRUE,TRUE
